,file,cv_split#,class,Feature,model,CM,Acc,f1-macro,auc,time-s
25,kaggle_noNNnoSW,1,JP,LIWC,cnb,"[[576 468]
 [283 401]]",0.565393519,0.560889895,0.590207759,0.015957355
26,kaggle_noNNnoSW,1,JP,LIWC,rf,"[[960  84]
 [618  66]]",0.59375,0.445269414,0.566365727,0.7932260040000001
27,kaggle_noNNnoSW,1,JP,LIWC,lgr,"[[616 428]
 [303 381]]",0.576967593,0.568996291,0.587090531,0.11365771300000001
28,kaggle_noNNnoSW,1,JP,LIWC,svc,"[[579 465]
 [301 383]]",0.556712963,0.550935551,0.592603095,26.034310100000003
29,kaggle_noNNnoSW,1,JP,LIWC,lgb,"[[656 388]
 [326 358]]",0.5868055560000001,0.574140371,0.598265499,3.907142401
30,kaggle_noNNnoSW,2,JP,LIWC,cnb,"[[579 465]
 [283 401]]",0.56712963,0.562487222,0.588534315,0.01595664
31,kaggle_noNNnoSW,2,JP,LIWC,rf,"[[958  86]
 [601  83]]",0.6024305560000001,0.465340515,0.572500756,0.8966286179999999
32,kaggle_noNNnoSW,2,JP,LIWC,lgr,"[[601 443]
 [267 417]]",0.58912037,0.584408264,0.610221875,0.08934068699999999
33,kaggle_noNNnoSW,2,JP,LIWC,svc,"[[579 465]
 [278 406]]",0.570023148,0.5656697860000001,0.603522496,25.51331902
34,kaggle_noNNnoSW,2,JP,LIWC,lgb,"[[621 423]
 [309 375]]",0.576388889,0.5676261029999999,0.592977695,2.59559083
35,kaggle_noNNnoSW,3,JP,LIWC,cnb,"[[593 451]
 [305 378]]",0.562246671,0.555355304,0.571327196,0.015957594
36,kaggle_noNNnoSW,3,JP,LIWC,rf,"[[970  74]
 [620  63]]",0.598147076,0.44509046799999996,0.574122925,0.80879879
37,kaggle_noNNnoSW,3,JP,LIWC,lgr,"[[631 413]
 [309 374]]",0.58193399,0.572466124,0.596489457,0.08776283300000001
38,kaggle_noNNnoSW,3,JP,LIWC,svc,"[[604 440]
 [297 386]]",0.573248408,0.5663383879999999,0.596701222,25.17977381
39,kaggle_noNNnoSW,3,JP,LIWC,lgb,"[[653 391]
 [330 353]]",0.5825130279999999,0.569523071,0.590732513,2.3830502030000003
40,kaggle_noNNnoSW,4,JP,LIWC,cnb,"[[551 493]
 [285 398]]",0.5495078170000001,0.545944064,0.574981909,0.016953707
41,kaggle_noNNnoSW,4,JP,LIWC,rf,"[[978  66]
 [590  93]]",0.62015055,0.484877034,0.587533588,0.796799898
42,kaggle_noNNnoSW,4,JP,LIWC,lgr,"[[561 483]
 [250 433]]",0.5755645629999999,0.573220122,0.6169858579999999,0.10767746
43,kaggle_noNNnoSW,4,JP,LIWC,svc,"[[561 483]
 [251 432]]",0.574985524,0.572600853,0.618275385,25.00029278
44,kaggle_noNNnoSW,4,JP,LIWC,lgb,"[[582 462]
 [277 406]]",0.57209033,0.567599498,0.60016801,2.446996689
45,kaggle_noNNnoSW,5,JP,LIWC,cnb,"[[576 468]
 [306 377]]",0.551823972,0.545793169,0.57883857,0.015974045
46,kaggle_noNNnoSW,5,JP,LIWC,rf,"[[984  60]
 [618  65]]",0.6074116970000001,0.452327631,0.579742431,0.891656876
47,kaggle_noNNnoSW,5,JP,LIWC,lgr,"[[604 440]
 [295 388]]",0.574406485,0.567643083,0.59453448,0.102726698
48,kaggle_noNNnoSW,5,JP,LIWC,svc,"[[604 440]
 [288 395]]",0.5784597570000001,0.572194275,0.599898044,25.42212439
49,kaggle_noNNnoSW,5,JP,LIWC,lgb,"[[629 415]
 [331 352]]",0.5680370579999999,0.556630876,0.599550944,2.8658740519999997
50,kaggle_noNNnoSW,1,JP,char_tfidf,cnb,"[[693 351]
 [249 435]]",0.6527777779999999,0.644860966,0.705928895,0.04837656
51,kaggle_noNNnoSW,1,JP,char_tfidf,rf,"[[990  54]
 [473 211]]",0.695023148,0.617233601,0.7665453940000001,2.1692552569999997
52,kaggle_noNNnoSW,1,JP,char_tfidf,lgr,"[[705 339]
 [236 448]]",0.66724537,0.659718453,0.7354809440000001,2.197798491
53,kaggle_noNNnoSW,1,JP,char_tfidf,svc,"[[756 288]
 [225 459]]",0.703125,0.69408805,0.759318075,370.0571108
54,kaggle_noNNnoSW,1,JP,char_tfidf,lgb,"[[835 209]
 [235 449]]",0.743055556,0.72956107,0.801448265,77.26525879
55,kaggle_noNNnoSW,2,JP,char_tfidf,cnb,"[[683 361]
 [234 450]]",0.6556712960000001,0.649295032,0.69871838,0.039895058
56,kaggle_noNNnoSW,2,JP,char_tfidf,rf,"[[980  64]
 [445 239]]",0.705439815,0.639069754,0.768251748,2.1575598719999998
57,kaggle_noNNnoSW,2,JP,char_tfidf,lgr,"[[714 330]
 [242 442]]",0.668981481,0.660571429,0.727638861,2.142867565
58,kaggle_noNNnoSW,2,JP,char_tfidf,svc,"[[724 320]
 [198 486]]",0.700231481,0.6944349240000001,0.766140687,373.48273539999997
59,kaggle_noNNnoSW,2,JP,char_tfidf,lgb,"[[817 227]
 [224 460]]",0.73900463,0.72736804,0.8084011109999999,84.21811342
60,kaggle_noNNnoSW,3,JP,char_tfidf,cnb,"[[716 328]
 [261 422]]",0.658946149,0.648767149,0.703196962,0.040890694
61,kaggle_noNNnoSW,3,JP,char_tfidf,rf,"[[981  63]
 [489 194]]",0.680370585,0.596597776,0.7581410609999999,2.255101442
62,kaggle_noNNnoSW,3,JP,char_tfidf,lgr,"[[724 320]
 [277 406]]",0.654313839,0.642181852,0.702435447,2.184437752
63,kaggle_noNNnoSW,3,JP,char_tfidf,svc,"[[752 292]
 [246 437]]",0.6884771279999999,0.67775649,0.748078681,372.60392169999994
64,kaggle_noNNnoSW,3,JP,char_tfidf,lgb,"[[826 218]
 [237 446]]",0.7365373479999999,0.72313274,0.8001842779999999,86.31036687
65,kaggle_noNNnoSW,4,JP,char_tfidf,cnb,"[[677 367]
 [226 457]]",0.656629994,0.650965925,0.708667811,0.04288435
66,kaggle_noNNnoSW,4,JP,char_tfidf,rf,"[[1009   35]
 [ 486  197]]",0.698320787,0.6127010979999999,0.762705946,2.313872337
67,kaggle_noNNnoSW,4,JP,char_tfidf,lgr,"[[715 329]
 [236 447]]",0.67284308,0.664770219,0.7244506709999999,2.345317364
68,kaggle_noNNnoSW,4,JP,char_tfidf,svc,"[[741 303]
 [215 468]]",0.700057904,0.6923707020000001,0.754096475,381.2176354
69,kaggle_noNNnoSW,4,JP,char_tfidf,lgb,"[[834 210]
 [229 454]]",0.7458019690000001,0.7328687309999999,0.809681482,88.15201759
70,kaggle_noNNnoSW,5,JP,char_tfidf,cnb,"[[700 344]
 [235 448]]",0.664736537,0.657442811,0.717406304,0.046875
71,kaggle_noNNnoSW,5,JP,char_tfidf,rf,"[[990  54]
 [492 191]]",0.683844818,0.597742956,0.751257272,2.269979239
72,kaggle_noNNnoSW,5,JP,char_tfidf,lgr,"[[698 346]
 [255 428]]",0.651997684,0.643278576,0.7054155940000001,2.167252064
73,kaggle_noNNnoSW,5,JP,char_tfidf,svc,"[[742 302]
 [233 450]]",0.6902142440000001,0.681097518,0.752977342,367.4573796
74,kaggle_noNNnoSW,5,JP,char_tfidf,lgb,"[[810 234]
 [240 443]]",0.725535611,0.712554778,0.788137471,96.11439538
75,kaggle_noNNnoSW,1,JP,word_tfidf,cnb,"[[690 354]
 [239 445]]",0.6568287039999999,0.649788668,0.7116074029999999,0.042885065
76,kaggle_noNNnoSW,1,JP,word_tfidf,rf,"[[989  55]
 [476 208]]",0.692708333,0.61382192,0.7651961359999999,2.257906437
77,kaggle_noNNnoSW,1,JP,word_tfidf,lgr,"[[728 316]
 [256 428]]",0.668981481,0.658694247,0.724339585,2.524710655
78,kaggle_noNNnoSW,1,JP,word_tfidf,svc,"[[764 280]
 [218 466]]",0.711805556,0.702971855,0.7558059420000001,369.9126
79,kaggle_noNNnoSW,1,JP,word_tfidf,lgb,"[[806 238]
 [239 445]]",0.723958333,0.7113608990000001,0.793564171,76.74419713
80,kaggle_noNNnoSW,2,JP,word_tfidf,cnb,"[[677 367]
 [221 463]]",0.6597222220000001,0.654422098,0.7105893329999999,0.048868895
81,kaggle_noNNnoSW,2,JP,word_tfidf,rf,"[[984  60]
 [471 213]]",0.692708333,0.616328036,0.766164493,2.4490208630000003
82,kaggle_noNNnoSW,2,JP,word_tfidf,lgr,"[[708 336]
 [248 436]]",0.662037037,0.653450549,0.730663664,2.748446703
83,kaggle_noNNnoSW,2,JP,word_tfidf,svc,"[[720 324]
 [214 470]]",0.688657407,0.682001338,0.763409962,376.6370935
84,kaggle_noNNnoSW,2,JP,word_tfidf,lgb,"[[794 250]
 [222 462]]",0.726851852,0.7163824520000001,0.797151924,71.07125807
85,kaggle_noNNnoSW,3,JP,word_tfidf,cnb,"[[696 348]
 [252 431]]",0.652576723,0.6441992320000001,0.708851528,0.04488039
86,kaggle_noNNnoSW,3,JP,word_tfidf,rf,"[[995  49]
 [489 194]]",0.6884771279999999,0.603095012,0.75053853,2.38220191
87,kaggle_noNNnoSW,3,JP,word_tfidf,lgr,"[[730 314]
 [276 407]]",0.658367111,0.645983601,0.709705604,2.743003845
88,kaggle_noNNnoSW,3,JP,word_tfidf,svc,"[[753 291]
 [233 450]]",0.696583671,0.6869471970000001,0.746897842,372.09555839999996
