Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_0000.txt,1,523,85.22,71.69,63.92,62.04,15.87,51.24,13.00,8.22,3.82,0.00,3.06,0.57,0.76,4.78,7.27,16.06,5.54,4.59,5.54,0.96,12.05,5.93,4.02,1.53,1.34,3.82,4.21,3.06,1.15,0.38,0.00,0.76,9.37,0.19,0.19,0.38,0.38,11.28,1.72,1.53,0.96,3.25,2.49,1.91,2.68,1.15,0.96,0.19,1.72,0.38,1.15,0.00,0.19,7.07,2.29,2.10,2.49,1.72,0.38,2.49,7.84,0.38,17.21,1.34,9.37,6.50,1.91,3.44,0.76,0.00,0.00,0.38,1.15,0.00,0.76,0.19,0.19,0.00
row_0001.txt,1,1125,53.98,47.87,76.04,50.67,10.58,56.44,19.47,15.02,10.04,0.53,2.67,0.62,1.16,4.44,6.76,13.16,7.56,4.98,6.76,0.71,15.56,5.96,3.20,1.42,1.24,1.96,6.13,3.64,2.31,0.18,0.71,0.71,9.87,0.00,0.89,0.53,0.98,10.31,2.76,1.33,1.87,2.31,0.89,2.76,2.13,0.62,0.98,0.44,1.78,0.71,0.53,0.27,0.18,7.38,2.49,1.60,2.04,1.33,0.80,0.71,13.33,0.98,12.18,1.33,6.76,4.27,1.69,1.51,0.00,0.00,0.27,0.27,0.44,0.09,0.18,0.18,0.00,0.00
row_0002.txt,1,812,43.39,60.69,54.48,71.95,14.78,53.20,16.50,8.00,4.43,0.25,2.96,0.12,0.25,8.37,3.82,12.32,8.13,7.88,5.91,0.99,14.78,5.17,2.59,2.46,1.48,1.72,6.90,4.68,2.22,0.37,0.49,0.25,8.13,0.12,0.25,0.12,0.12,15.27,3.57,2.09,2.59,3.57,2.46,3.20,2.83,1.11,0.62,0.86,1.23,0.74,0.12,0.00,0.25,6.40,1.60,1.97,1.35,1.48,0.62,0.86,12.93,1.23,13.18,0.62,5.54,6.65,1.60,1.35,0.12,0.00,0.37,0.00,0.86,0.00,0.12,0.37,0.12,0.25
row_0003.txt,1,1033,41.37,56.93,59.61,56.87,14.23,58.08,19.17,13.07,6.97,1.26,3.39,0.97,0.48,6.10,6.10,12.97,8.71,7.07,6.87,1.26,16.46,6.20,3.48,1.55,0.68,4.36,4.94,3.29,1.65,0.19,0.68,0.19,10.84,0.19,0.19,0.87,0.29,18.30,4.65,2.03,2.32,4.84,2.61,5.23,3.48,0.77,1.84,0.68,0.87,0.39,0.29,0.19,0.00,5.52,2.42,0.97,1.36,0.58,0.19,0.68,14.33,0.77,8.91,0.68,5.13,2.90,1.84,0.48,0.19,0.00,0.39,0.00,1.36,0.29,0.87,0.10,0.10,0.00
row_0004.txt,1,937,40.45,64.58,26.22,47.48,14.30,56.78,16.65,9.71,3.74,0.43,1.81,2.03,1.71,6.94,5.44,11.95,12.49,4.80,6.08,1.71,19.64,6.51,2.67,2.45,0.43,2.67,6.83,3.95,2.77,0.11,1.39,0.21,12.27,0.32,0.32,1.07,1.71,14.09,3.74,1.39,2.13,3.20,1.39,4.59,2.24,0.43,0.75,0.53,2.56,0.75,0.11,0.21,1.49,8.22,1.71,2.13,2.13,2.77,0.32,0.53,16.76,0.85,9.28,1.71,4.80,2.56,1.81,1.49,0.11,0.64,0.11,0.11,1.28,0.75,0.32,0.11,0.11,0.00
row_0005.txt,1,1436,44.64,61.25,40.11,44.93,13.79,57.45,16.02,9.75,4.25,0.91,2.23,1.39,0.97,6.27,5.85,13.02,11.42,5.64,7.24,1.39,18.94,5.01,3.20,1.81,0.97,2.72,5.01,2.99,1.95,0.49,0.49,0.35,10.24,0.21,0.35,1.18,0.63,16.09,3.90,1.81,2.72,4.32,1.53,4.81,2.72,1.25,0.77,0.63,1.25,0.42,0.21,0.07,0.49,5.78,1.74,1.32,1.60,1.32,0.77,1.18,16.57,1.32,10.65,1.74,5.08,3.62,1.88,0.70,0.07,0.00,1.04,0.28,0.56,0.07,0.21,0.21,0.07,0.00
row_0006.txt,1,1295,42.62,67.28,72.32,48.71,13.05,55.91,17.53,12.36,6.95,1.24,2.55,0.93,0.69,5.17,6.10,11.58,8.73,6.56,7.72,0.69,15.75,3.86,1.70,2.24,1.00,2.32,7.80,4.48,3.24,0.46,0.85,0.62,11.97,0.15,0.93,0.69,1.08,14.29,3.94,1.70,1.62,4.32,1.93,3.47,3.32,1.00,1.24,0.62,1.54,0.46,0.62,0.00,0.00,7.57,3.71,0.93,1.93,0.85,0.46,0.93,13.98,1.70,12.74,0.77,6.33,5.41,1.08,1.31,0.31,0.23,0.77,0.23,1.16,0.15,0.46,0.39,0.15,0.00
row_0007.txt,1,1209,47.23,34.55,61.46,72.26,12.82,58.40,18.61,11.08,7.11,0.50,1.99,0.25,1.24,7.53,5.21,14.39,8.85,5.71,6.37,1.99,18.36,5.05,3.06,2.81,0.66,2.89,5.62,4.05,1.57,0.25,0.25,0.41,7.11,0.00,0.25,0.00,0.25,18.20,4.55,2.32,2.98,4.22,1.41,4.47,3.72,1.16,1.32,1.32,1.08,0.33,0.66,0.00,0.00,5.62,1.16,1.49,1.49,1.90,0.25,0.83,15.47,1.16,9.84,1.57,5.13,3.23,1.90,1.08,0.17,0.25,0.33,0.08,0.83,0.00,0.58,0.08,0.41,0.00
row_0008.txt,1,711,78.62,24.97,84.16,73.09,13.36,53.45,13.36,6.61,5.91,0.14,0.42,0.00,0.14,6.75,7.31,15.33,6.47,4.64,6.75,1.27,14.21,6.61,3.94,0.84,1.13,4.50,7.17,4.78,2.25,0.28,0.42,0.70,3.52,0.00,0.00,0.00,0.00,14.63,3.80,1.97,1.13,3.80,1.97,3.66,4.08,1.13,0.98,1.83,3.23,0.70,1.13,0.00,0.98,5.77,0.84,1.97,1.41,2.39,0.42,1.13,13.22,1.55,14.77,1.41,7.17,6.61,1.27,1.83,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.00
row_0009.txt,1,1215,56.44,35.54,72.62,42.18,15.56,53.83,15.31,10.86,7.08,0.25,1.73,1.23,0.58,4.44,6.42,12.67,6.42,7.49,7.08,1.48,11.93,4.61,2.88,1.73,0.33,2.22,6.34,3.54,2.63,0.49,0.66,0.74,7.49,0.08,0.16,1.15,0.41,13.09,2.63,1.98,1.81,3.70,1.56,3.95,3.95,1.65,0.74,1.07,2.06,0.82,0.49,0.08,0.41,5.27,1.56,1.15,2.22,0.99,0.41,0.74,10.62,1.23,13.99,1.98,6.34,6.01,1.65,1.73,0.33,0.16,0.41,0.16,1.56,0.66,0.41,0.25,0.16,0.00
