Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_0000.txt,1,529,85.34,71.47,62.27,61.62,15.69,50.66,12.85,8.13,3.78,0.00,3.02,0.57,0.76,4.73,7.18,15.88,5.48,4.54,5.48,0.95,11.91,5.86,3.97,1.51,1.32,3.78,4.16,3.02,1.13,0.38,0.00,0.76,9.26,0.19,0.19,0.38,0.38,11.15,1.70,1.51,0.95,3.21,2.46,1.89,2.65,1.13,0.95,0.19,1.70,0.38,1.13,0.00,0.19,6.99,2.27,2.08,2.46,1.70,0.38,2.46,7.75,0.38,17.01,1.32,9.26,6.43,1.89,3.40,0.76,0.00,0.00,0.38,1.13,0.00,0.76,0.19,0.19,0.00
row_0001.txt,1,1144,55.37,47.90,74.29,46.73,10.40,55.94,19.23,14.77,9.88,0.52,2.62,0.61,1.14,4.46,6.56,13.37,7.43,4.90,6.73,0.70,15.03,5.94,3.50,1.40,1.22,1.92,5.86,3.41,2.27,0.17,0.70,0.70,9.70,0.00,0.87,0.52,0.96,10.14,2.71,1.31,1.84,2.27,0.87,2.71,2.10,0.61,0.96,0.44,1.75,0.70,0.52,0.26,0.17,7.34,2.45,1.57,2.10,1.31,0.79,0.87,12.94,0.96,12.06,1.31,6.73,4.20,1.66,1.49,0.00,0.00,0.26,0.26,0.44,0.09,0.17,0.17,0.00,0.00
row_0002.txt,1,815,43.29,60.65,52.33,71.80,14.85,53.13,16.56,7.98,4.42,0.25,2.94,0.12,0.25,8.47,3.80,12.27,8.10,7.85,5.89,0.98,14.72,5.28,2.82,2.45,1.47,1.84,6.87,4.66,2.21,0.37,0.49,0.25,8.10,0.12,0.25,0.12,0.12,15.09,3.56,2.09,2.58,3.56,2.33,3.19,2.82,1.10,0.61,0.86,1.23,0.74,0.12,0.00,0.25,6.38,1.60,1.96,1.35,1.47,0.61,1.10,12.88,1.35,12.88,0.61,5.52,6.50,1.60,1.35,0.12,0.00,0.37,0.00,0.86,0.00,0.12,0.37,0.12,0.25
row_0003.txt,1,1041,43.20,56.11,60.36,56.62,14.31,57.44,18.83,12.97,6.92,1.25,3.36,0.96,0.48,5.86,6.34,12.58,8.65,7.01,6.53,1.25,16.04,5.86,3.17,1.54,0.67,4.32,4.90,3.27,1.63,0.19,0.67,0.19,10.57,0.19,0.19,0.86,0.29,17.96,4.71,2.02,2.11,4.71,2.59,5.19,3.27,0.77,1.63,0.67,0.86,0.38,0.29,0.19,0.00,5.38,2.40,0.96,1.34,0.58,0.10,0.67,13.26,0.77,8.84,0.67,5.09,2.88,1.83,0.48,0.19,0.00,0.38,0.00,1.34,0.29,0.86,0.10,0.10,0.00
row_0004.txt,1,942,41.41,64.90,25.73,45.26,13.80,56.37,16.45,9.77,3.72,0.42,1.91,2.02,1.70,6.69,5.52,11.78,12.42,4.78,5.94,1.70,19.64,6.37,2.65,2.44,0.42,2.65,6.69,3.82,2.76,0.11,1.38,0.21,12.21,0.32,0.32,1.06,1.70,13.91,3.72,1.38,2.12,3.08,1.38,4.56,2.34,0.53,0.74,0.53,2.55,0.74,0.11,0.21,1.49,8.17,1.70,2.12,2.12,2.76,0.32,0.74,16.67,0.85,9.24,1.70,4.78,2.55,1.80,1.38,0.11,0.64,0.11,0.11,1.17,0.74,0.32,0.00,0.11,0.00
row_0005.txt,1,1463,45.25,62.60,37.81,44.55,13.47,56.80,15.99,9.77,4.17,0.96,2.26,1.37,1.03,6.22,5.81,12.85,11.21,5.54,7.18,1.37,18.32,4.99,3.21,1.78,0.96,2.67,4.92,2.94,1.91,0.48,0.48,0.34,10.32,0.27,0.34,1.16,0.68,15.58,3.83,1.78,2.60,4.17,1.44,4.72,2.67,1.23,0.75,0.62,1.23,0.41,0.21,0.07,0.48,5.81,1.85,1.30,1.57,1.30,0.75,1.03,16.20,1.30,10.39,1.64,4.99,3.55,1.85,0.68,0.07,0.00,1.03,0.27,0.34,0.07,0.14,0.07,0.07,0.00
row_0006.txt,1,1309,42.05,67.38,69.98,48.45,13.37,55.61,17.65,12.22,6.88,1.30,2.44,0.92,0.69,5.42,5.88,11.61,8.63,6.49,7.79,0.69,15.74,3.97,1.83,2.22,0.99,2.29,7.72,4.43,3.21,0.46,0.84,0.61,11.92,0.15,0.92,0.69,1.07,14.06,3.90,1.76,1.60,4.28,1.76,3.44,3.28,0.99,1.22,0.61,1.53,0.46,0.61,0.00,0.00,7.56,3.74,0.92,1.91,0.84,0.46,1.30,13.29,1.76,12.45,0.76,6.26,5.19,1.07,1.30,0.31,0.23,0.76,0.23,0.99,0.15,0.38,0.31,0.15,0.00
row_0007.txt,1,1212,47.15,35.81,61.10,72.15,12.71,58.50,18.98,11.14,7.10,0.50,2.06,0.25,1.24,7.84,5.36,14.19,8.83,5.61,6.19,1.90,18.23,4.87,2.97,2.81,0.66,2.89,5.61,4.04,1.57,0.25,0.25,0.41,7.26,0.00,0.25,0.00,0.25,17.82,4.46,2.31,2.89,4.04,1.40,4.46,3.71,1.16,1.32,1.32,1.07,0.33,0.66,0.00,0.00,5.53,1.16,1.49,1.40,1.90,0.25,0.91,15.18,1.16,9.82,1.57,5.12,3.22,1.82,1.07,0.17,0.25,0.33,0.08,0.74,0.00,0.58,0.00,0.41,0.00
row_0008.txt,1,711,77.73,24.97,84.16,73.09,13.22,53.87,13.78,6.61,5.91,0.14,0.42,0.00,0.14,7.17,7.31,15.33,6.47,4.64,6.75,1.27,14.49,6.75,4.08,0.84,1.13,4.50,7.17,4.78,2.25,0.28,0.42,0.70,3.52,0.00,0.00,0.00,0.00,14.77,3.80,1.97,1.13,3.80,2.11,3.66,4.08,1.13,0.98,1.83,3.23,0.70,1.13,0.00,0.98,5.77,0.84,1.97,1.41,2.39,0.42,0.70,13.78,1.55,14.77,1.41,7.17,6.75,1.27,1.83,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.14,0.00,0.00
row_0009.txt,1,1221,56.70,35.91,71.49,42.09,15.40,53.56,15.23,10.81,7.04,0.33,1.64,1.23,0.57,4.42,6.39,12.61,6.39,7.45,7.04,1.47,11.96,4.59,2.87,1.72,0.33,2.21,6.31,3.52,2.62,0.49,0.66,0.74,7.53,0.08,0.16,1.15,0.41,12.94,2.70,1.97,1.80,3.69,1.39,3.93,3.93,1.64,0.74,1.06,2.05,0.82,0.49,0.08,0.41,5.32,1.64,1.15,2.21,0.98,0.41,0.82,10.57,1.23,13.76,1.97,6.31,5.81,1.64,1.72,0.33,0.16,0.41,0.16,1.47,0.66,0.33,0.25,0.16,0.00
