Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_0000.txt,1,375,92.48,72.12,48.67,79.30,10.67,62.67,13.87,8.80,3.20,0.00,4.27,0.80,0.53,5.07,10.67,21.33,7.47,5.33,5.33,0.80,13.60,7.20,4.80,2.13,1.33,4.00,4.53,3.73,0.80,0.27,0.00,0.53,7.20,0.00,0.27,0.27,0.53,11.47,1.60,1.87,1.33,3.73,2.13,1.60,1.33,1.07,0.00,0.27,0.53,0.00,0.27,0.00,0.27,6.13,0.53,2.13,2.93,2.40,0.27,0.53,11.47,0.53,16.53,1.07,10.40,4.80,1.33,1.60,0.00,0.00,0.00,0.00,0.80,0.00,0.53,0.00,0.27,0.00
row_0001.txt,1,868,61.30,43.13,71.59,51.65,7.83,63.13,19.82,14.98,9.91,0.23,3.11,0.69,1.04,4.84,8.53,16.36,9.33,5.30,6.57,0.81,17.17,6.68,3.69,1.27,1.27,2.30,5.41,3.34,1.96,0.12,0.69,0.46,8.64,0.00,0.23,0.23,0.92,10.37,2.30,1.50,1.96,2.88,0.81,3.00,1.61,0.46,0.81,0.23,1.15,0.46,0.35,0.00,0.23,6.34,1.38,1.50,2.19,1.61,0.46,0.69,15.44,1.15,11.87,1.38,6.68,4.03,0.46,0.69,0.00,0.00,0.12,0.00,0.23,0.00,0.00,0.23,0.00,0.00
row_0002.txt,1,598,43.49,61.85,44.93,69.88,12.71,63.55,17.89,7.86,3.34,0.00,4.01,0.17,0.33,9.87,5.18,16.39,10.54,8.86,6.35,1.17,17.73,5.69,3.34,2.68,1.00,2.17,6.35,4.35,2.01,0.17,0.33,0.33,7.19,0.00,0.00,0.00,0.17,17.73,3.85,2.34,3.18,4.68,2.84,3.68,2.17,1.00,0.50,0.50,0.33,0.17,0.00,0.00,0.17,5.35,0.67,1.84,1.34,1.84,0.50,1.17,16.22,1.67,12.71,0.50,6.69,5.52,1.17,0.50,0.00,0.00,0.33,0.00,1.17,0.00,0.17,0.50,0.17,0.33
row_0003.txt,1,804,51.58,59.33,40.30,58.72,12.31,64.68,18.53,12.69,6.09,1.00,3.98,1.24,0.37,5.85,8.21,16.29,10.82,7.96,6.09,1.49,18.53,7.34,3.98,1.62,0.75,4.48,5.72,3.73,1.99,0.25,0.75,0.25,10.20,0.00,0.12,0.87,0.37,17.66,3.61,2.36,2.36,5.10,2.61,4.98,3.61,0.75,1.87,0.75,0.25,0.00,0.12,0.12,0.00,4.35,1.37,0.75,1.62,0.50,0.12,0.50,15.92,0.87,8.46,0.50,5.47,2.61,1.00,0.37,0.12,0.00,0.37,0.00,1.00,0.25,0.50,0.12,0.00,0.00
row_0004.txt,1,685,46.04,63.14,15.42,64.51,10.07,66.42,17.08,10.80,3.50,0.58,2.34,2.77,1.61,6.28,7.45,16.06,16.20,5.26,5.55,1.75,23.36,7.15,3.07,2.19,0.58,3.21,6.57,4.23,2.19,0.15,0.73,0.15,10.95,0.15,0.00,1.02,1.75,13.43,2.34,1.02,2.63,3.21,1.17,4.82,1.75,0.44,0.88,0.15,1.31,0.15,0.00,0.15,1.02,8.32,1.46,2.34,2.48,2.77,0.29,0.29,21.46,0.73,9.64,1.61,5.99,1.90,0.88,1.02,0.15,0.44,0.00,0.15,0.44,0.44,0.00,0.00,0.00,0.00
row_0005.txt,1,1082,50.18,60.22,29.89,38.95,9.89,65.90,15.62,9.15,3.05,0.65,2.77,1.76,0.92,6.47,7.58,17.01,14.60,6.65,6.84,1.76,22.37,5.45,3.60,1.66,0.92,2.77,4.62,2.68,1.94,0.46,0.65,0.28,9.15,0.18,0.09,1.29,0.65,16.73,3.51,2.03,3.05,4.71,1.57,5.08,2.68,1.39,1.02,0.37,0.46,0.00,0.18,0.00,0.28,4.25,0.92,0.92,1.20,1.29,0.74,0.74,20.61,1.29,11.00,1.76,5.91,3.33,0.55,0.28,0.00,0.00,0.55,0.37,0.28,0.09,0.00,0.09,0.09,0.00
row_0006.txt,1,970,44.21,66.38,65.57,50.80,10.31,65.05,18.25,12.58,6.39,1.24,3.09,1.24,0.62,5.67,7.94,15.15,11.13,8.66,7.11,0.93,18.35,4.64,2.37,2.78,1.34,2.27,7.42,4.33,2.99,0.21,0.93,0.52,10.72,0.00,0.41,0.62,0.93,14.54,4.12,1.96,1.86,4.95,1.34,3.30,3.20,1.13,1.03,0.72,1.24,0.41,0.31,0.00,0.00,6.49,2.68,0.93,1.86,0.93,0.52,0.62,17.42,1.55,12.68,0.62,7.01,4.95,0.82,0.10,0.00,0.31,0.21,0.00,1.24,0.21,0.41,0.41,0.21,0.00
row_0007.txt,1,897,57.56,41.19,45.29,73.64,9.70,66.11,18.62,9.81,5.46,0.45,2.34,0.33,1.23,8.81,7.13,18.39,11.37,6.58,5.02,2.23,20.85,5.02,3.23,3.34,0.67,2.79,5.69,4.12,1.56,0.33,0.22,0.56,7.13,0.00,0.00,0.00,0.33,18.17,3.34,2.56,3.57,4.91,1.23,4.46,3.34,1.23,1.11,1.11,0.67,0.11,0.45,0.00,0.00,5.46,0.89,1.56,1.67,2.01,0.22,0.56,18.73,1.56,10.93,1.56,6.24,3.23,1.23,0.56,0.00,0.22,0.11,0.11,0.89,0.00,0.67,0.00,0.45,0.00
row_0008.txt,1,532,84.45,20.94,80.35,68.35,9.59,62.59,15.04,7.71,6.77,0.19,0.56,0.00,0.19,7.33,9.77,19.17,8.46,5.45,5.08,1.69,15.60,6.95,4.14,0.94,1.13,5.08,5.45,3.76,1.50,0.19,0.00,0.38,3.01,0.00,0.00,0.00,0.00,14.10,3.20,1.69,1.32,4.51,1.69,3.38,3.38,1.13,0.38,1.88,1.88,0.56,0.56,0.00,0.56,5.26,0.75,1.32,1.32,2.07,0.56,0.38,16.73,1.69,14.10,1.13,7.71,6.02,0.94,0.38,0.00,0.00,0.19,0.00,0.19,0.00,0.00,0.19,0.00,0.00
row_0009.txt,1,892,63.74,41.58,57.19,46.42,12.11,62.67,15.47,10.87,6.05,0.45,2.13,1.68,0.56,4.60,8.63,16.70,8.52,9.08,6.73,1.57,14.91,5.61,3.36,2.24,0.45,2.69,7.06,4.04,2.91,0.56,0.78,0.90,7.29,0.00,0.00,1.35,0.45,13.45,2.69,2.24,2.24,3.70,1.46,3.59,3.25,1.68,0.56,0.90,1.01,0.34,0.11,0.00,0.34,4.26,1.12,1.12,1.68,1.12,0.22,0.56,14.01,1.68,13.68,2.24,7.06,4.93,0.67,0.45,0.00,0.11,0.45,0.11,1.79,0.78,0.34,0.34,0.22,0.00
row_0010.txt,1,1009,52.37,78.03,40.28,19.83,11.00,67.89,21.41,14.37,5.75,0.10,5.25,2.38,0.89,7.04,9.42,16.35,11.00,6.84,5.55,1.09,20.02,5.05,2.58,2.78,0.69,2.08,4.16,1.88,2.28,0.30,0.40,0.79,12.49,0.10,0.40,1.09,1.68,10.70,2.08,2.18,1.78,2.48,0.99,3.27,1.09,0.30,0.69,0.10,1.39,0.10,1.19,0.00,0.30,5.95,0.89,0.69,2.18,1.68,1.09,0.79,17.74,1.49,12.59,2.28,7.63,2.68,0.69,0.00,0.10,0.50,0.40,0.10,0.40,0.00,0.30,0.00,0.00,0.10
row_0011.txt,1,576,30.85,55.52,67.86,55.21,9.20,66.32,18.58,13.54,6.42,0.69,3.82,0.35,2.26,5.03,6.60,14.76,10.94,11.11,7.64,1.04,20.49,4.34,2.78,1.74,0.69,4.17,5.73,3.65,2.08,0.35,0.52,0.87,10.76,0.00,0.35,0.35,0.17,20.31,3.82,1.91,2.60,8.68,0.87,6.25,2.95,0.35,1.39,1.22,0.69,0.00,0.17,0.17,0.35,6.60,2.08,0.69,1.04,2.26,0.52,0.52,19.27,0.87,10.24,1.04,6.60,2.60,0.17,0.52,0.00,0.00,0.00,0.00,0.87,0.17,0.52,0.17,0.00,0.00
row_0012.txt,1,924,64.65,58.97,18.82,24.06,9.42,60.61,17.86,12.88,5.41,0.11,1.95,4.22,1.19,4.98,10.39,14.18,9.20,6.71,4.98,1.52,19.26,4.76,3.03,1.95,0.54,2.81,5.74,2.81,2.92,0.54,1.41,0.32,10.17,0.11,0.32,3.57,0.76,13.85,4.00,2.16,1.52,3.90,1.73,2.49,3.46,1.73,0.87,0.87,0.97,0.11,0.32,0.22,0.11,3.25,0.65,0.32,0.97,1.08,0.22,0.22,16.34,0.65,9.52,1.41,4.76,3.35,0.43,0.22,0.00,0.11,0.11,0.00,1.30,0.54,0.43,0.32,0.00,0.00
row_0013.txt,1,1159,40.95,40.11,60.56,44.75,12.25,67.56,18.21,11.39,6.47,0.26,2.16,1.21,1.29,6.82,8.46,15.19,12.68,8.11,7.16,1.64,20.79,6.73,3.28,1.98,1.04,3.19,6.47,3.71,2.67,0.52,1.38,0.35,8.37,0.35,0.26,0.60,1.12,18.90,4.66,1.81,2.33,6.30,1.64,5.00,2.07,0.69,0.95,0.17,0.60,0.17,0.09,0.00,0.09,5.44,1.12,1.38,1.73,1.64,0.17,0.17,18.90,1.12,10.01,0.95,6.13,2.93,0.60,0.17,0.00,0.17,0.09,0.00,1.29,0.17,0.26,0.69,0.17,0.00
row_0014.txt,1,612,69.72,35.95,76.46,71.75,12.25,66.01,14.54,7.84,5.72,0.49,1.47,0.16,0.00,6.54,9.15,18.46,13.07,8.01,4.08,1.63,23.20,5.88,2.45,0.65,1.14,3.92,5.39,3.92,1.47,0.00,0.65,0.00,5.39,0.00,0.16,0.00,0.16,16.50,3.43,2.78,1.96,3.92,2.45,3.43,1.96,0.16,0.98,0.49,0.65,0.16,0.49,0.00,0.00,5.88,1.14,1.63,1.96,1.47,0.33,1.80,17.97,2.12,14.87,2.45,7.19,5.07,0.98,0.49,0.16,0.33,0.00,0.16,0.82,0.16,0.00,0.49,0.00,0.16
row_0015.txt,1,892,40.79,42.87,34.51,48.66,11.55,63.57,17.26,9.64,5.38,0.56,2.47,0.90,0.34,7.62,7.29,13.79,11.66,7.29,6.73,2.35,18.61,7.74,4.26,1.91,1.01,3.48,7.51,4.37,3.14,0.34,0.90,0.67,8.30,0.11,0.22,0.11,1.01,18.72,4.26,2.80,2.58,4.93,1.68,5.04,3.36,1.23,1.57,0.45,0.90,0.22,0.34,0.11,0.00,6.50,1.46,1.68,2.13,1.46,0.90,0.67,18.72,0.56,7.40,0.67,4.04,2.69,0.90,0.67,0.00,0.22,0.22,0.22,1.68,0.34,0.22,0.56,0.34,0.22
